在“她说我喜欢自己”这句话中，自己指的是	f:0.3333333598242835	m:0.3333332604832158	w:0.33333337969250065
在“她说我重复自己”这句话中，自己指的是	f:0.33333332671059024	m:0.333333267105952	w:0.3333334061834578
在“他说我重复自己”这句话中，自己指的是	f:0.33333325386046414	m:0.33333325386046414	w:0.33333349227907166
在“她说我抓自己”这句话中，自己指的是	f:0.3333333399560708	m:0.3333333002196425	w:0.3333333598242867
在“他说我抓自己”这句话中，自己指的是	f:0.33333331346511624	m:0.3333332935969031	w:0.3333333929379807
在“她说我指着自己”这句话中，自己指的是	f:0.3333333399560708	m:0.3333333002196425	w:0.3333333598242867
在“他说我指着自己”这句话中，自己指的是	f:0.33333331346511624	m:0.3333332935969031	w:0.3333333929379807
在“她说我锻炼自己”这句话中，自己指的是	f:0.3333333333333333	m:0.3333333333333333	w:0.3333333333333333
在“他说我锻炼自己”这句话中，自己指的是	f:0.3333333333333333	m:0.3333333333333333	w:0.3333333333333333
在“她说我打自己”这句话中，自己指的是	f:0.33333337969250065	m:0.3333332604832158	w:0.3333333598242835
在“他说我打自己”这句话中，自己指的是	f:0.3333332935968948	m:0.3333332538604721	w:0.33333345254263314
在“她说我操心自己”这句话中，自己指的是	f:0.3333333664470248	m:0.3333332869741667	w:0.3333333465788085
在“他说我操心自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	w:0.33333335320154844
在“她说我纠正自己”这句话中，自己指的是	f:0.33333333995606923	m:0.33333328035142856	w:0.3333333796925022
在“他说我纠正自己”这句话中，自己指的是	f:0.33333331346511624	m:0.3333332935969031	w:0.3333333929379807
在“她说我扎自己”这句话中，自己指的是	f:0.333333419428936	m:0.33333326048321343	w:0.33333332008785055
在“他说我扎自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	w:0.3333333664470256
在“她说我谈到自己”这句话中，自己指的是	f:0.3333333465788101	m:0.33333332671059496	w:0.33333332671059496
在“他说我谈到自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我证明自己”这句话中，自己指的是	f:0.3333333465788101	m:0.33333332671059496	w:0.33333332671059496
在“他说我证明自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我训练自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“他说我训练自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我依靠自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“他说我依靠自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
在“她说我优待自己”这句话中，自己指的是	f:0.33333322074672994	m:0.3333331412739065	w:0.33333363797936355
在“他说我优待自己”这句话中，自己指的是	f:0.33333326048318035	m:0.3333331810103474	w:0.3333335585064723
在“她说我鞭策自己”这句话中，自己指的是	f:0.33333333333332976	m:0.3333332737286903	w:0.33333339293797987
在“他说我鞭策自己”这句话中，自己指的是	f:0.33333330684237705	m:0.3333332869741643	w:0.3333334061834586
在“她说我尊重自己”这句话中，自己指的是	f:0.33333333333333176	m:0.3333332935969043	w:0.33333337306976396
在“他说我尊重自己”这句话中，自己指的是	f:0.33333332008785527	m:0.33333330021964175	w:0.333333379692503
在“她说我辜负自己”这句话中，自己指的是	f:0.3333333730697628	m:0.33333327372869115	w:0.3333333532015461
在“他说我辜负自己”这句话中，自己指的是	f:0.3333333399560708	m:0.3333333002196425	w:0.3333333598242867
在“她说我担心自己”这句话中，自己指的是	f:0.3333333664470256	m:0.3333333068423802	w:0.3333333267105942
在“他说我担心自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	w:0.33333333995607156
在“她说我控制自己”这句话中，自己指的是	f:0.3333333333333333	m:0.3333333333333333	w:0.3333333333333333
在“他说我控制自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	w:0.3333333465788101
