在“她说这本书伤害了自己”这句话中，自己指的是	f:0.3333333664469822	m:0.33333310816026257	t:0.33333352539275524
在“她说这个举动感动了自己”这句话中，自己指的是	f:0.3333335783746949	m:0.3333331810103411	t:0.333333240614964
在“他说这个举动迷惑了自己”这句话中，自己指的是	f:0.3333332604831992	m:0.33333324061498926	t:0.3333334989018115
在“他说这个举动提醒了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“她说这个举动激励了自己”这句话中，自己指的是	f:0.33333343267441445	m:0.3333332538604748	t:0.3333333134651107
在“他说这个结果伤害了自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	t:0.3333333664470256
在“他说这个结果改变了自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	t:0.3333333664470256
在“他说这个结果影响了自己”这句话中，自己指的是	f:0.33333330021963775	m:0.3333332803514254	t:0.3333334194289368
在“他说这个结果吸引了自己”这句话中，自己指的是	f:0.3333333465788101	m:0.33333332671059496	t:0.33333332671059496
在“他说这个结果启发了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“他说这个结果激励了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“她说这个结果刺激了自己”这句话中，自己指的是	f:0.33333335320154844	m:0.33333331346511863	t:0.3333333333333329
在“她说这个结果困扰了自己”这句话中，自己指的是	f:0.3333334260516441	m:0.33333310816026845	t:0.33333346578808737
在“她说这个结果鼓舞了自己”这句话中，自己指的是	f:0.3333333929379807	m:0.3333332935969031	t:0.33333331346511624
在“她说这个结果鞭策了自己”这句话中，自己指的是	f:0.33333335320154767	m:0.33333329359690467	t:0.33333335320154767
在“她说这个结果感动了自己”这句话中，自己指的是	f:0.33333352539277183	m:0.3333332273695095	t:0.3333332472377187
在“他说这个结果刺激了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“他说这个结果迷惑了自己”这句话中，自己指的是	f:0.33333330684237705	m:0.3333332869741643	t:0.3333334061834586
在“她说这个结果提醒了自己”这句话中，自己指的是	f:0.3333333995607181	m:0.33333326048321504	t:0.33333333995606684
在“她说这个结果激励了自己”这句话中，自己指的是	f:0.33333337306976396	m:0.3333332935969043	t:0.33333333333333176
在“他说这个问题伤害了自己”这句话中，自己指的是	f:0.33333331346511624	m:0.3333332935969031	t:0.3333333929379807
在“她说这个问题改变了自己”这句话中，自己指的是	f:0.3333334459198916	m:0.33333322736952525	t:0.33333332671058313
在“她说这个问题影响了自己”这句话中，自己指的是	f:0.3333333664469901	m:0.33333312802847254	t:0.3333335055245374
在“她说这个问题吸引了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“他说这个问题启发了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“他说这个问题激励了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“他说这个问题刺激了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“他说这个问题困扰了自己”这句话中，自己指的是	f:0.33333330684237705	m:0.3333332869741643	t:0.3333334061834586
在“他说这个问题鼓舞了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“他说这个问题鞭策了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“他说这个问题感动了自己”这句话中，自己指的是	f:0.3333333598242871	m:0.33333332008785643	t:0.33333332008785643
在“她说这个问题迷惑了自己”这句话中，自己指的是	f:0.33333333995605974	m:0.3333332207467891	t:0.33333343929715115
在“她说这个问题提醒了自己”这句话中，自己指的是	f:0.3333333664470209	m:0.33333324723774077	t:0.33333338631523834
在“她说这句话伤害了自己”这句话中，自己指的是	f:0.3333333399560637	m:0.33333324061500186	t:0.3333334194289344
在“她说这句话改变了自己”这句话中，自己指的是	f:0.33333334657880653	m:0.3333332671059531	t:0.33333338631524034
在“他说这句话影响了自己”这句话中，自己指的是	f:0.3333332671059393	m:0.33333324723772895	t:0.33333348565633175
在“他说这句话吸引了自己”这句话中，自己指的是	f:0.3333333134651178	m:0.3333333134651178	t:0.33333337306976435
在“她说这句话启发了自己”这句话中，自己指的是	f:0.33333333333332976	m:0.3333332737286903	t:0.33333339293797987
在“她说这句话激励了自己”这句话中，自己指的是	f:0.33333332671059024	m:0.33333326710595196	t:0.3333334061834578
在“他说这句话刺激了自己”这句话中，自己指的是	f:0.3333333134651178	m:0.3333333134651178	t:0.33333337306976435
在“他说这句话困扰了自己”这句话中，自己指的是	f:0.3333331412738552	m:0.33333312140565236	t:0.33333373732049243
在“他说这句话鼓舞了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“他说这句话鞭策了自己”这句话中，自己指的是	f:0.3333333267105942	m:0.3333333068423802	t:0.3333333664470256
在“他说这句话感动了自己”这句话中，自己指的是	f:0.3333333598242871	m:0.33333332008785643	t:0.33333332008785643
在“他说这句话迷惑了自己”这句话中，自己指的是	f:0.33333330684237705	m:0.3333332869741643	t:0.3333334061834586
在“她说这句话提醒了自己”这句话中，自己指的是	f:0.33333319425576036	m:0.3333331147829433	t:0.33333369096129634
在“他说这个事件伤害了自己”这句话中，自己指的是	f:0.3333333465788097	m:0.3333333068423806	t:0.3333333465788097
在“他说这个事件改变了自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	t:0.3333333465788101
在“他说这个事件影响了自己”这句话中，自己指的是	f:0.33333332008785527	m:0.33333330021964175	t:0.333333379692503
在“她说这个事件吸引了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“她说这个事件启发了自己”这句话中，自己指的是	f:0.33333339956071933	m:0.3333332803514274	t:0.33333332008785327
在“她说这个事件激励了自己”这句话中，自己指的是	f:0.33333339956071933	m:0.3333332803514274	t:0.33333332008785327
在“她说这个事件刺激了自己”这句话中，自己指的是	f:0.33333335320154844	m:0.33333331346511863	t:0.3333333333333329
在“她说这个事件困扰了自己”这句话中，自己指的是	f:0.3333334392971405	m:0.33333316114215916	t:0.33333339956070035
在“她说这个事件鼓舞了自己”这句话中，自己指的是	f:0.3333334128061974	m:0.33333327372868876	t:0.33333331346511386
在“他说这个事件鞭策了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“她说这个事件感动了自己”这句话中，自己指的是	f:0.3333334790335916	m:0.3333332406149936	t:0.33333328035141474
在“他说这个事件迷惑了自己”这句话中，自己指的是	f:0.33333330021963775	m:0.3333332803514254	t:0.3333334194289368
在“她说这个事件提醒了自己”这句话中，自己指的是	f:0.3333333929379807	m:0.3333332935969031	t:0.33333331346511624
在“他说它伤害了自己”这句话中，自己指的是	f:0.33333331346511624	m:0.3333332935969031	t:0.3333333929379807
在“他说它改变了自己”这句话中，自己指的是	f:0.3333333134651178	m:0.3333333134651178	t:0.33333337306976435
在“她说它影响了自己”这句话中，自己指的是	f:0.333333313465057	m:0.33333309491477753	t:0.33333359162016546
在“他说它吸引了自己”这句话中，自己指的是	f:0.33333332671059496	m:0.33333332671059496	t:0.3333333465788101
在“他说它启发了自己”这句话中，自己指的是	f:0.3333333333333329	m:0.33333331346511863	t:0.33333335320154844
在“他说它激励了自己”这句话中，自己指的是	f:0.33333333333333176	m:0.3333332935969043	t:0.33333337306976396
在“她说它刺激了自己”这句话中，自己指的是	f:0.3333333465788097	m:0.3333333068423806	t:0.3333333465788097
在“她说它困扰了自己”这句话中，自己指的是	f:0.3333334459197282	m:0.3333328697417987	t:0.3333336843384731
在“她说它鼓舞了自己”这句话中，自己指的是	f:0.33333339956071617	m:0.3333332406150031	t:0.33333335982428075
在“她说它鞭策了自己”这句话中，自己指的是	f:0.3333333134651107	m:0.3333332538604748	t:0.33333343267441445
在“她说它感动了自己”这句话中，自己指的是	f:0.33333367771581074	m:0.33333310153748064	t:0.3333332207467086
在“他说它刺激了自己”这句话中，自己指的是	f:0.33333333995607156	m:0.3333333200878568	t:0.33333333995607156
在“她说它迷惑了自己”这句话中，自己指的是	f:0.33333326048315426	m:0.3333331214057092	t:0.3333336181111366
在“她说它提醒了自己”这句话中，自己指的是	f:0.3333333664469972	m:0.33333314789668295	t:0.3333334856563199
