在“他给她关于自己的书”这句话中，自己指的是	f:0.490559269574025	m:0.5094407304259749
在“他通知她关于自己的钱”这句话中，自己指的是	f:0.4948517711477847	m:0.5051482288522152
在“他通知她关于自己的经验”这句话中，自己指的是	f:0.4928279074265614	m:0.5071720925734386
在“他通知她关于自己的生日”这句话中，自己指的是	f:0.49249061786692766	m:0.5075093821330724
在“他通知她关于自己的计划”这句话中，自己指的是	f:0.4940846044241349	m:0.5059153955758652
在“他通知她关于自己的意见”这句话中，自己指的是	f:0.4950435593079146	m:0.5049564406920853
在“他通知她关于自己的想法”这句话中，自己指的是	f:0.49077883619219326	m:0.5092211638078068
在“他寄给她关于自己的书”这句话中，自己指的是	f:0.4906022888551278	m:0.5093977111448722
在“他寄给她关于自己的信”这句话中，自己指的是	f:0.4900411426968837	m:0.5099588573031164
在“他寄给她关于自己的结果”这句话中，自己指的是	f:0.491655170989234	m:0.5083448290107659
在“他寄给她关于自己的问题”这句话中，自己指的是	f:0.4919738511866569	m:0.5080261488133431
在“他寄给她关于自己的话”这句话中，自己指的是	f:0.49156054547828376	m:0.5084394545217163
在“他寄给她关于自己的成绩”这句话中，自己指的是	f:0.4905387729019755	m:0.5094612270980245
在“他寄给她关于自己的钱”这句话中，自己指的是	f:0.4933952358834938	m:0.5066047641165062
在“他寄给她关于自己的经验”这句话中，自己指的是	f:0.4904110865041369	m:0.5095889134958631
在“他寄给她关于自己的生日”这句话中，自己指的是	f:0.4900080157053891	m:0.509991984294611
在“他寄给她关于自己的计划”这句话中，自己指的是	f:0.49170057714611737	m:0.5082994228538826
在“他寄给她关于自己的意见”这句话中，自己指的是	f:0.4926863165088719	m:0.507313683491128
在“他寄给她关于自己的想法”这句话中，自己指的是	f:0.4866204024070399	m:0.5133795975929601
在“他提供她关于自己的书”这句话中，自己指的是	f:0.4911227019120029	m:0.5088772980879971
在“他提供她关于自己的信”这句话中，自己指的是	f:0.4904939663344111	m:0.5095060336655889
在“他提供她关于自己的结果”这句话中，自己指的是	f:0.49500482012573527	m:0.5049951798742647
在“他提供她关于自己的问题”这句话中，自己指的是	f:0.49529280264921355	m:0.5047071973507864
在“他提供她关于自己的话”这句话中，自己指的是	f:0.49497716634619493	m:0.5050228336538052
在“他提供她关于自己的成绩”这句话中，自己指的是	f:0.4941628247147353	m:0.5058371752852647
在“他提供她关于自己的钱”这句话中，自己指的是	f:0.4956771020404623	m:0.5043228979595378
在“他提供她关于自己的经验”这句话中，自己指的是	f:0.4914397021920559	m:0.5085602978079441
在“他提供她关于自己的生日”这句话中，自己指的是	f:0.4901669783945003	m:0.5098330216054997
在“他提供她关于自己的计划”这句话中，自己指的是	f:0.4917180960936885	m:0.5082819039063116
在“他提供她关于自己的意见”这句话中，自己指的是	f:0.4948284086153812	m:0.5051715913846189
在“他提供她关于自己的想法”这句话中，自己指的是	f:0.48586935681011084	m:0.5141306431898891
在“他拒绝回答她关于自己的书”这句话中，自己指的是	f:0.4974253405207598	m:0.5025746594792402
在“他拒绝回答她关于自己的信”这句话中，自己指的是	f:0.49803639467749705	m:0.501963605322503
在“他拒绝回答她关于自己的结果”这句话中，自己指的是	f:0.49763204437611286	m:0.502367955623887
在“他拒绝回答她关于自己的问题”这句话中，自己指的是	f:0.4978380337985136	m:0.5021619662014863
在“他拒绝回答她关于自己的话”这句话中，自己指的是	f:0.49867725680894015	m:0.5013227431910597
在“他拒绝回答她关于自己的成绩”这句话中，自己指的是	f:0.49581585161059805	m:0.504184148389402
在“他拒绝回答她关于自己的钱”这句话中，自己指的是	f:0.4973354591839209	m:0.5026645408160791
在“他拒绝回答她关于自己的经验”这句话中，自己指的是	f:0.4947416336935578	m:0.5052583663064423
在“他拒绝回答她关于自己的生日”这句话中，自己指的是	f:0.4928131285223988	m:0.5071868714776012
在“他拒绝回答她关于自己的计划”这句话中，自己指的是	f:0.4955519419163556	m:0.5044480580836443
在“他拒绝回答她关于自己的意见”这句话中，自己指的是	f:0.4969940547699256	m:0.5030059452300745
在“他拒绝回答她关于自己的想法”这句话中，自己指的是	f:0.4872349826760478	m:0.5127650173239522
在“他提醒她关于自己的书”这句话中，自己指的是	f:0.4977007074310522	m:0.5022992925689478
在“他提醒她关于自己的信”这句话中，自己指的是	f:0.49845791351990437	m:0.5015420864800957
在“他提醒她关于自己的结果”这句话中，自己指的是	f:0.4988064788599082	m:0.5011935211400917
在“他提醒她关于自己的问题”这句话中，自己指的是	f:0.4986925154924397	m:0.5013074845075602
在“他提醒她关于自己的话”这句话中，自己指的是	f:0.49809933624240305	m:0.5019006637575969
在“他提醒她关于自己的成绩”这句话中，自己指的是	f:0.4979124190517345	m:0.5020875809482654
在“他提醒她关于自己的钱”这句话中，自己指的是	f:0.49769927694984745	m:0.5023007230501526
在“他提醒她关于自己的经验”这句话中，自己指的是	f:0.49729182984341486	m:0.5027081701565851
在“他提醒她关于自己的生日”这句话中，自己指的是	f:0.49611766988256034	m:0.5038823301174397
在“他提醒她关于自己的计划”这句话中，自己指的是	f:0.4971885977441626	m:0.5028114022558373
在“他提醒她关于自己的意见”这句话中，自己指的是	f:0.4980166062437191	m:0.5019833937562809
在“他提醒她关于自己的想法”这句话中，自己指的是	f:0.4939516156977744	m:0.5060483843022257
在“他推荐她关于自己的书”这句话中，自己指的是	f:0.49570189572983814	m:0.5042981042701619
在“他推荐她关于自己的信”这句话中，自己指的是	f:0.4949094623953208	m:0.5050905376046791
在“他推荐她关于自己的结果”这句话中，自己指的是	f:0.49745943348547406	m:0.5025405665145259
在“他推荐她关于自己的问题”这句话中，自己指的是	f:0.49705794868847647	m:0.5029420513115236
在“他推荐她关于自己的话”这句话中，自己指的是	f:0.4967279901286726	m:0.5032720098713275
在“他推荐她关于自己的成绩”这句话中，自己指的是	f:0.4973955389977773	m:0.5026044610022228
在“他推荐她关于自己的钱”这句话中，自己指的是	f:0.49834824209268774	m:0.5016517579073123
在“他推荐她关于自己的经验”这句话中，自己指的是	f:0.4964047097932344	m:0.5035952902067656
在“他推荐她关于自己的生日”这句话中，自己指的是	f:0.4971256572741491	m:0.502874342725851
在“他推荐她关于自己的计划”这句话中，自己指的是	f:0.4959975143898414	m:0.5040024856101587
在“他推荐她关于自己的意见”这句话中，自己指的是	f:0.49738790981086034	m:0.5026120901891397
在“他推荐她关于自己的想法”这句话中，自己指的是	f:0.48878381095644935	m:0.5112161890435506
